"207","33"
"208","6"
"208","33"
"209","6"
"209","33"
"210","6"
"210","33"
"211","6"
"211","33"
"212","13"
"212","33"
"213","13"
"213","33"
"214","13"
"214","33"
"215","13"
"215","33"
"216","13"
"216","33"
"217","13"
"217","33"
"218","13"
"218","33"
"219","29"
"220","29"
"221","29"
"222","29"
"223","29"
"224","29"
"225","29"
"226","29"
"227","29"
"228","29"
"229","29"
"230","29"
"231","29"
"232","29"
"233","29"
"234","29"
"235","29"
"236","29"
"237","32"
"238","36"
"239","32"
"240","32"
"241","32"
"242","32"
"244","3"
"244","25"
"244","27"
"244","38"
"245","39"
"247","13"
"247","26"
"248","8"
"248","16"
"249","12"
"249","16"
"250","10"
"250","16"
"251","10"
"251","16"
"252","11"
"252","16"
"253","9"
"253","19"
"254","9"
"254","19"
"255","9"
"255","19"
"256","9"
"256","19"
"257","55"
"257","56"
"258","55"
"258","56"
"259","55"
"259","56"
"260","9"
"260","19"
"261","9"
"261","19"
"262","9"
"262","19"
"263","44"
"264","47"
"265","7"
"266","8"
"266","16"
"267","12"
"267","16"
"268","10"
"268","16"
"269","10"
"269","16"
"270","11"
"270","16"
"271","9"
"271","19"
"272","9"
"272","19"
"273","9"
"273","19"
"274","9"
"274","19"
"275","55"
"275","56"
"276","55"
"276","56"
"277","55"
"277","56"
"278","9"
"278","19"
"279","9"
"279","19"
"280","9"
"280","19"
"281","44"
"282","45"
"283","47"
"284","7"
"285","8"
"285","16"
"286","12"
"286","16"
"287","10"
"287","16"
"288","10"
"288","16"
"289","11"
"289","16"
"290","9"
"290","19"
"291","9"
"291","19"
"292","9"
"292","19"
"293","9"
"293","19"
"294","55"
"294","56"
"295","55"
"295","56"
"296","55"
"296","56"
"297","9"
"297","19"
"298","9"
"298","19"
"299","9"
"299","19"
"300","44"
"301","45"
"302","46"
"303","47"
"304","7"
"305","3"
"305","38"
"306","2"
"306","15"
"306","27"
"306","40"
"307","48"
"307","49"
"307","54"
"308","37"
"309","37"
"331","1"
"331","23"
"331","24"
"331","42"
"332","1"
"332","23"
"332","24"
"332","42"
"333","1"
"333","23"
"333","24"
"333","42"
"334","23"
"334","24"
"334","42"
"335","23"
"335","24"
"335","42"
"336","23"
"336","24"
"336","42"
"337","23"
"337","24"
"337","42"
"338","23"
"338","24"
"338","42"
"339","23"
"339","24"
"339","42"
"340","23"
"340","24"
"340","42"
"341","23"
"341","24"
"341","42"
"342","23"
"342","24"
"342","42"
"343","23"
"343","24"
"343","42"
"344","23"
"344","24"
"344","42"
"345","23"
"345","24"
"345","42"
"346","23"
"346","24"
"346","42"
"347","23"
"347","24"
"347","42"
"348","23"
"348","24"
"348","42"
"349","23"
"349","24"
"349","42"
"350","23"
"350","24"
"350","42"
"351","23"
"351","24"
"351","42"
"352","23"
"352","24"
"352","42"
"353","23"
"353","24"
"353","42"
"354","23"
"354","24"
"354","42"
"355","23"
"355","24"
"355","42"
"356","23"
"356","24"
"356","42"
"358","23"
"358","24"
"358","42"
"359","23"
"359","24"
"359","42"
"360","23"
"360","24"
"360","42"
"361","23"
"361","24"
"361","42"
"362","29"
"363","29"
"364","29"
"365","38"
"366","27"
"366","40"
"367","27"
"367","40"
"368","37"
"369","22"
"369","29"
"369","34"
"369","51"
"369","52"
"370","22"
"370","29"
"370","34"
"370","51"
"370","52"
"371","22"
"371","29"
"371","34"
"371","51"
"371","52"
"372","22"
"372","29"
"372","34"
"372","51"
"372","52"
"373","22"
"373","29"
"373","34"
"373","51"
"373","52"
"374","22"
"374","29"
"374","34"
"374","51"
"374","52"
"375","22"
"375","29"
"375","34"
"375","51"
"375","52"
"376","22"
"376","29"
"376","34"
"376","51"
"376","52"
"377","22"
"377","29"
"377","34"
"377","51"
"377","52"
"378","22"
"378","29"
"378","34"
"378","51"
"378","52"
"379","22"
"379","29"
"379","34"
"379","51"
"379","52"
"380","22"
"380","29"
"380","34"
"380","51"
"380","52"
"381","22"
"381","29"
"381","34"
"381","51"
"381","52"
"382","22"
"382","29"
"382","34"
"382","51"
"382","52"
"383","22"
"383","29"
"383","34"
"383","51"
"383","52"
"384","29"
"384","34"
"384","50"
"385","29"
"385","34"
"385","50"
"386","29"
"386","34"
"386","50"
"387","29"
"387","34"
"387","50"
"388","29"
"388","34"
"388","50"
"389","29"
"389","34"
"389","50"
"390","29"
"390","34"
"390","50"
"391","29"
"391","34"
"391","50"
"392","29"
"392","34"
"392","53"
"393","29"
"393","34"
"393","53"
"394","29"
"394","34"
"394","53"
"395","29"
"395","34"
"395","53"
"396","29"
"396","34"
"396","53"
"397","29"
"397","34"
"397","53"
"398","29"
"398","34"
"398","53"
"399","29"
"399","34"
"399","53"
"400","38"
